,Tweets,ID,TimeStamp,Source,Likes,Retweets,User
0,"RT @MichelleStGeor3: @SenatorCantwell ❌🙋🏻‍♀️
And #Yakima County went back up to

⬇️

❌20.1% #Covid-19 Infection Rate!

https://t.co/WiMOjXp…",1283419892251754496,2020-07-15 15:15:21,Twitter for Android,0,1,MonaB3541
1,"RT @SaraCarterDC: Florida's Covid-19 Reporting Raise Serious Questions As To The Extent Of Outbreak - Sara A. Carter

""Florida Department o…",1283419892012797952,2020-07-15 15:15:21,Twitter for iPhone,0,86,thundersden
2,"RT @CapRadioInsight: At 9 a.m., @RandolWhite speaks with @SacPublicHealth about the latest on COVID-19 and testing. Plus, have you been imp…",1283419891853213697,2020-07-15 15:15:21,Twitter Web App,0,1,CintiaLopez916
3,"RT @srivatsayb: AN EXAMPLE OF BJP's CORONA LOOT

In Bengaluru, BJP Govt decided to rent bed sets at ₹800/day for CoVid centres

Without ten…",1283419891609907200,2020-07-15 15:15:21,Twitter Web App,0,1820,Anon79775273
4,"RT @3stewwie: I just want to be EXTREMELY clear that from this day forth, you can’t trust any data moving forward on COVID. Blocking the fl…",1283419891459076108,2020-07-15 15:15:21,Twitter for iPhone,0,1094,ptvjaimie
5,"RT @__AsiaB__: COVID exposed every flaw in our system. 

Education.
Healthcare. 
Unemployment. 
Wage disparities amongst minorities.

And s…",1283419891438161921,2020-07-15 15:15:21,Twitter for iPhone,0,32852,lord_voltron
6,Coronavirus US: Case surge among NBA and MLB players and staff https://t.co/UXhuyy87tj,1283419891228434435,2020-07-15 15:15:21,FPTraffic,0,0,LeBronJames2day
7,"@australiawhisky @COVID_Australia Hmmmm,got any pics of your daughters?",1283419890825654278,2020-07-15 15:15:21,Twitter Web App,0,0,RickyLe03466666
8,"RT @sarahcpr: White House releases guidance on how to stay COVID-free:

1. Don't get tested",1283419890657964033,2020-07-15 15:15:21,Twitter for iPhone,0,6349,slamkadennis
9,"RT @CarmichaelKevin: BoC's Macklem tells reporters that they ""did take down"" their US forecast because of the spike in COVID-19 cases. BoC'…",1283419890209173504,2020-07-15 15:15:21,Twitter Web App,0,1,quinngreg
10,"RT @wilsonforsc63: So if COVID-19 required schools to close in March and it’s worse now, why are we talking about reopening?",1283419890150506498,2020-07-15 15:15:21,Twitter for iPhone,0,45746,1208megan
11,RT @RebeccaLissner: DOD may hope that strategy &amp; operations will return to business as usual post-COVID. But the longer this pandemic conti…,1283419890066395137,2020-07-15 15:15:21,Twitter for Android,0,22,valentin0rie2
12,"RT @JaniceDean: Here’s a true story about how quickly COVID can spread. Shove 6,000 Covid patients into nursing homes for 46 days straight.…",1283419889718497280,2020-07-15 15:15:21,Twitter for Android,0,5640,halfwitticism
13,"RT @JaniceDean: Here’s a true story about how quickly COVID can spread. Shove 6,000 Covid patients into nursing homes for 46 days straight.…",1283419889701654531,2020-07-15 15:15:21,Twitter Web App,0,5640,seattleskeptic
14,RT @EmeraldRobinson: The biggest story in America today: more than 300 COVID testing labs in Florida reported 100% rates. Every person they…,1283419889676570625,2020-07-15 15:15:21,Twitter for iPhone,0,1636,clantro
15,RT @MWACCanada: BREAKING: Fed govt will announce new policies for migrant farmworkers in coming days after COVID-19 outbreaks and deaths of…,1283419889575825408,2020-07-15 15:15:21,Twitter for Android,0,21,Antmind1
16,"RT @RobertCooper58: ICE is currently detaining roughly 22,500 people in nearly 70 detention centers around the country. The agency reports…",1283419889374572545,2020-07-15 15:15:21,Twitter Web App,0,56,KimPracticeTNR
17,"RT @sarahcpr: White House releases guidance on how to stay COVID-free:

1. Don't get tested",1283419889139617794,2020-07-15 15:15:21,Twitter for iPhone,0,6349,softboygirl
18,"RT @socflyny: I've been ringing the alarm bells about Michael Caputo since yesterday.

This is an incredibly dire situation ... 🚨🚨🚨👇

#COVI…",1283419889055784961,2020-07-15 15:15:20,Twitter for iPad,0,3,KathleenJaege13
19,"RT @iamsrz_: #भाजपा_का_विश्वासघात
List of betrayals:
1. Economy
2. Galwan
3. COVID 19
4. Farmers
5. Voters &amp; Democracy
But did we expect an…",1283419889005260800,2020-07-15 15:15:20,Twitter for Android,0,4,rizwanaamir54
20,RT @MyronTerrell_: I just gotta let y’all know how good God is. He literally made ways for the first step of my dreams to come true. Been t…,1283419888913125379,2020-07-15 15:15:20,Twitter for iPhone,0,62,EricGolstonII
21,"RT @mmpadellan: Republicans realize that COVID-19 is so dangerous, they've decided to move their convention outdoors.

But they want OUR KI…",1283419888908935175,2020-07-15 15:15:20,Twitter for iPhone,0,2835,mojakaczka
22,RT @The_Real_Fly: MARKETS RISE ON PROPOSED COVID-19 SUPER EXPERIMENTAL VACCINE THAT NO ONE WILL TAKE via @the_real_fly https://t.co/zGuR3Ze…,1283419888862683139,2020-07-15 15:15:20,Twitter for iPhone,0,8,pdf00587301
23,"RT @DavidLammy: Boris Johnson admits at #PMQs he has not even read the report which describes a worst-case scenario of 120,000 deaths in a…",1283419888854478849,2020-07-15 15:15:20,Twitter for Android,0,888,Linda16201620
24,"RT @GuwahatiPol: COVID Warriors of Police Commissionerate Guwahati SI(P) Abhijit Doley, WHC Puspa Rani Das and UBC-1984 Ganesh Nath of Panb…",1283419888598437889,2020-07-15 15:15:20,Twitter for Android,0,11,IAS_rsk
25,RT @drdavidsamadi: This is a very frightening revelation. How many hospitals is this happening in? How many states? We are looking at a 90%…,1283419888577650690,2020-07-15 15:15:20,Twitter for iPhone,0,6715,DStar98843517
26,RT @shareitarie10: The US is not a third world country..until now. This is how we should’ve experienced Covid. I’m enraged we haven’t. Summ…,1283419888485388289,2020-07-15 15:15:20,Twitter for iPhone,0,9,nlfisker
27,"RT @arorafbd: @tinkerbell9958 @nsbchd Extra person 🤣😂 he will carry Covid testing kits , PPE kits, extra Masks and all necessary medical to…",1283419888464191488,2020-07-15 15:15:20,Twitter for iPhone,0,1,tinkerbell9958
28,"RT @DWUhlfelderLaw: BREAKING:   Florida has passed 300,000 cases of COVID-19 after reporting 10,181 new cases and 112 new resident deaths t…",1283419888250261504,2020-07-15 15:15:20,Twitter for iPhone,0,667,KarhuAmy
29,RT @KILLBILLEVOL1: Please watch this!!!! Especially if you’ve tested positive for COVID 19 and have recovered!!!!!! https://t.co/tQ5e19YcDg,1283419888208551936,2020-07-15 15:15:20,Twitter for Android,0,211634,gumbell_
30,"RT @DWUhlfelderLaw: It took Florida 114 days to record its first 100,000 COVID-19 cases between March 1 and June 22. It took 13 days to rec…",1283419888124678145,2020-07-15 15:15:20,Twitter for iPhone,0,58,peasareevil
31,"RT @mmpadellan: Republicans realize that COVID-19 is so dangerous, they've decided to move their convention outdoors.

But they want OUR KI…",1283419887977795588,2020-07-15 15:15:20,Twitter Web App,0,2835,Obakeyashiki2
32,"RT @JimDeMint: Please stop the scare tactics. Life is full of serious risks for children, COVID is not one of them.",1283419887923167232,2020-07-15 15:15:20,Twitter for iPad,0,262,NVPatriot1
